     2059.20996        5.91404     2059.20996        5.16294
     2057.32495        6.28048     2057.32495        5.83133
     2085.39990        6.08933     2085.39990        5.98331
     2084.83008        6.74323     2084.83008        6.22504
     2065.05493        6.29976     2065.05493        5.79715
     2087.74512        5.97453     2087.74512        5.44196
     2086.90503        6.17098     2086.90503        5.71323
     1948.06006        6.65706     1948.05969        6.45708
     1968.13501        6.41107     1968.13489        6.02302
     1959.82996        7.11977     1959.82983        6.48256
     1948.20996        6.67202     1948.20972        6.54626
     1934.31494        6.82648     1934.31470        6.45985
     1941.89001        6.51367     1941.88965        6.38448
     1981.34497        5.87801     1981.34485        5.73848
     1966.53503        6.51872     1966.53479        5.97899
     1962.14001        6.54067     1962.13989        5.84068
     1946.55505        6.95931     1946.55469        6.67297
     1910.97498        6.43657     1910.97498        5.78181
     1908.12000        8.97918        0.00000        0.00000
     1959.47998        6.72083     1959.47986        6.14670
     1931.66504        6.41933     1931.66467        5.92073
     1891.87500        5.98869     1891.87500        5.42811
     1935.50000        5.66304     1935.49963        5.42584
     1941.13000        7.41371     1941.12964        7.00973
     1933.56995        6.46337     1933.56970        6.02192
     1891.17004        6.65966     1891.17004        6.08203
     1908.58496        6.46976     1908.58496        5.98145
     1906.03003        5.96315     1906.03003        5.82744
     1940.09497        6.86083     1940.09473        6.61842
     1993.03503       14.39892        0.00000        0.00000
     1908.28503        6.57562     1908.28503        6.06950
     1916.63501        6.23833     1916.63501        5.78591
     1912.52502        6.18097     1912.52502        5.94343
     1902.39001        7.01768     1902.39001        6.42245
     1953.22998        5.85893     1953.22974        5.74351
     1945.32996        7.30966     1945.32971        7.06024
     1948.51001        7.01854     1948.50964        6.78216
     1911.81494        6.29013     1911.81494        5.61834
     1908.47498        6.54633     1908.47498        5.98451
     1961.47498        6.70406     1961.47485        6.20623
     1943.48999        6.26577     1943.48975        6.15748
     1928.10498        6.16352     1928.10474        5.91896
     1957.00500        7.34779     1957.00488        6.53923
     1981.70496        6.08054     1981.70483        6.05246
     1939.58997        6.71058     1939.58972        6.28682
     1981.69995        6.36160     1981.69983        6.41009
     1949.51001        6.84981     1949.50964        6.70361
     1984.23999        7.75257     1984.23987        7.37038
     1943.93994        7.19975     1943.93970        7.06055
     1921.06006        6.82323     1921.06006        6.68105
     1929.91003        6.67172     1929.90967        5.95635
     1973.59497        7.12573     1973.59485        6.46473
     1960.00500        6.51767     1960.00488        6.08379
     1906.05005        7.41603     1906.05005        7.19705
     1928.70996        6.64349     1928.70972        6.31675
     1957.10498        6.05467     1957.10486        6.15716
     1937.23999        7.27065     1937.23975        6.64479
     1920.96997        6.52527     1920.96997        6.17245
     1929.19995        6.70522     1929.19971        6.33133
     1952.20496        6.94824     1952.20471        6.63763
     1921.34497        6.53230     1921.34497        6.15394
     1901.48999        6.53145     1901.48999        6.10081
     1919.02002        7.33209     1919.02002        6.69325
     1905.33496        7.08645     1905.33496        6.78659
     1938.25000        1.28744        0.00000        0.00000
     1942.67505        7.25013     1942.67468        6.83656
     1944.07495        6.85233     1944.07471        6.51225
     1909.88000        6.62009     1909.88000        6.14374
     1925.04504        6.46127     1925.04504        6.15695
     1937.58997        7.09027     1937.58972        6.71438
     1928.07996        6.99669     1928.07983        6.42154
     1961.57495        6.46215     1961.57483        6.33501
     1929.05005        6.40137     1929.04968        6.03516
     1899.15002        7.36461     1899.15002        6.87004
     1926.19995        6.97137     1926.19995        6.85565
     1940.11499        7.12368     1940.11475        6.86727
     1943.20496        7.04897     1943.20471        6.74259
